text,id,date
"@BeCureFit can we please stop using single use plastic for eatfit delivery? Try alternative package (eg., chuck box or ecoware in Bangalore) #cultfit #singleuseplastic",1171982556419383296#,Thu Sep 12 03:03:10 +0000 2019
"Day 98 of 365!
Hola, I am back in the game! 
Slow and steady  @becurefit
#running #5ktraining #5k #skechers  #training in #gym  #cultfit #bangalore #run #jogging #walking  #cardio #workout #fitnessgoal #2019 #personaldevelopment #getfit #fitness #motivat… https://t.co/NPU1wmQGz5 https://t.co/KBGulapgpc",1171974826648657920#,Thu Sep 12 02:32:27 +0000 2019
"Flipkart - supercoins 
Cultfit - fitcash

Looks like retention through rewards model is on the rise again! 

Any research/studies ideas around this? Would love to read them!",1171916357245386752#,Wed Sep 11 22:40:07 +0000 2019
@saket71 She is a trainer at CultFit,1171838375566831616#,Wed Sep 11 17:30:15 +0000 2019
Indians sugar industry also suffering coz millenials prefer fitness before delicious Indian sweets #CultFit #BoycottMillennials #NirmalaSitharamanLogic,1171835126751252481#,Wed Sep 11 17:17:20 +0000 2019
"@CultFit  we know you are amazing and that's why we are spending so much on you, but only if you could do away with '5-min grace' coz we all are rushing from office and you know gurgaon traffic!! Its disappointing how center managers does not let you enter",1171781321322053632#,Wed Sep 11 13:43:32 +0000 2019
@iHrithik #cultfit #gymbuddies #gymmotivation #gymtime #GymSelfie https://t.co/SjSxSpDcCT,1171766224587382786#,Wed Sep 11 12:43:32 +0000 2019
"Day 97 of 365!
After a little on-and-off lately, I am back in the game! 
Slow and steady and nonstop @becurefit
#running #skechers  #training in #gym  #cultfit #bangalore #run #jogging #walking  #cardio #workout #fitnessgoal #2019 #personaldevelopment #g… https://t.co/VlugHmHNqV https://t.co/eygAXvuFpp",1171642959575572480#,Wed Sep 11 04:33:44 +0000 2019
"New tasks .... 
Finally work for self. ....... 
Work for health 🤜

Thanks aloksharma2004
 For inspiring me for this. 

#cultjaipur  @becurefit  

#cultfit
#boxing #boxingworkout #taskmaster #fitnessmotivation #health… https://t.co/oPoeEMjnxD",1171496532622770179#,Tue Sep 10 18:51:53 +0000 2019
@BeCureFit  referred cousin for cultfit. Dint get refreel bonus got a reply that user cancelled the session.high drama and super pathetic service @BeCureFit #923893 ticket no. @hrxbrand @iHrithik,1171475881899937793#,Tue Sep 10 17:29:49 +0000 2019
RT @mukeshdevan09: @BeCureFit Starting the week with a reward for being fit!! 💪🏽💪🏽💪🏽 #cultchennai #cultfit https://t.co/BBRpWf1Q7I,1171103130634747904#,Mon Sep 09 16:48:39 +0000 2019
"We bring to you the ultimate fitness package curated by https://t.co/1eEgVpqRYP by @BeCureFit and preferred by celebrities. 
Plus, you also get amazing offers on https://t.co/NLln556bVU by @BeCureFit only with #TimesPrime.

Subscribe Now! https://t.co/QriWtRH2xP

#CultFit #EatFit https://t.co/bSvyG0HeIi",1171079607472119809#,Mon Sep 09 15:15:10 +0000 2019
bro I don’t want a relationship I just need a cultfit membership,1170961729259311104#,Mon Sep 09 07:26:46 +0000 2019
RT @mukeshdevan09: @BeCureFit Starting the week with a reward for being fit!! 💪🏽💪🏽💪🏽 #cultchennai #cultfit https://t.co/BBRpWf1Q7I,1170917967418159104#,Mon Sep 09 04:32:52 +0000 2019
@BeCureFit Starting the week with a reward for being fit!! 💪🏽💪🏽💪🏽 #cultchennai #cultfit https://t.co/BBRpWf1Q7I,1170893379380510720#,Mon Sep 09 02:55:10 +0000 2019
